approved,sku,product_name,expected_code,expected_brand,expected_color,expected_kind,expected_package,source,rank,status,score,query,title,image_url,page_url,local_path,reasons,ocr_text,visual_tags
,TON-HP-W9061X-CIA,Toner HP W9061X-EVP Ciano,W9061X,HP,ciano,toner,,duckduckgo,3,rejeitada,-18,Toner HP W9061X-EVP Ciano,Toner HP original CE271A CP5520 CP5525 M750 ciano | MadeiraMadeira,https://product-hub-prd.madeiramadeira.com.br/799003196/images/3fc73ddd-03a5-4a74-ad47-b0169d3916e70eca1f4161ad5a2d5e436e0cdb.jpg,https://www.madeiramadeira.com.br/toner-hp-original-ce271a-cp5520-cp5525-m750-ciano-799003196.html,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\TON-HP-W9061X-CIA\_review\03-product-hub-prd.madeiramadeira.com.br-caa534b365.jpg,codigo W9061X nao encontrado | marca HP encontrada | tipo toner encontrado | cor ciano encontrada,,
,TON-HP-W9061X-CIA,Toner HP W9061X-EVP Ciano,W9061X,HP,ciano,toner,,duckduckgo,4,rejeitada,-18,Toner HP W9061X-EVP Ciano,39592 -Cartucho de toner ciano Hp CP 2025 Katun Select / 2661B001AA ...,https://images.tcdn.com.br/img/img_prod/1167037/39592_cartucho_de_toner_ciano_hp_cp_2025_katun_select_2661b001aa_112767_5_4e9e9d1e96d83746b0b6e897f17db00e.jpg,https://www.mapelstore.com.br/suprimentos/hp/39592-cartucho-de-toner-cianohp-cp-2025-katun-select-2661b001aa,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\TON-HP-W9061X-CIA\_review\04-images.tcdn.com.br-6338f3068a.jpg,codigo W9061X nao encontrado | marca HP encontrada | tipo toner encontrado | cor ciano encontrada,,
,TON-HP-W9061X-CIA,Toner HP W9061X-EVP Ciano,W9061X,HP,ciano,toner,,duckduckgo,8,rejeitada,-18,Toner HP W9061X-EVP Ciano,HP LaserJet Toner 225A Ciano Original - Clever,https://clever.com.pt/wp-content/uploads/2025/10/e6090a0abecbe82b33d9d0e5f095c8f43d197e53-scaled.jpg,https://clever.com.pt/produto/hp-laserjet-toner-225a-ciano-original/,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\TON-HP-W9061X-CIA\_review\08-clever.com.pt-b68c608bc6.jpg,codigo W9061X nao encontrado | marca HP encontrada | tipo toner encontrado | cor ciano encontrada,,
,TON-HP-W9061X-CIA,Toner HP W9061X-EVP Ciano,W9061X,HP,ciano,toner,,duckduckgo,4,rejeitada,-18,HP W9061X toner ciano original,Toner HP CF411A Ciano Original | Casa das Impressoras | Soluções em ...,https://images.tcdn.com.br/img/img_prod/1130603/toner_hp_cf411a_ciano_original_5323563_1_dcf3200b095ff392fe9b2ec4c6155136.jpg,https://www.casadasimpressoras.com.br/toners/toner-hp-cf411a-ciano-original,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\TON-HP-W9061X-CIA\_review\04-images.tcdn.com.br-e5712240ce.jpg,codigo W9061X nao encontrado | marca HP encontrada | tipo toner encontrado | cor ciano encontrada,,
,TON-HP-W9061X-CIA,Toner HP W9061X-EVP Ciano,W9061X,HP,ciano,toner,,duckduckgo,5,rejeitada,-18,HP W9061X toner ciano original,Toner Hp Ce411a 305a Original - Ciano - 3k | MadeiraMadeira,https://product-hub-prd.madeiramadeira.com.br/530767301/images/5d44d04a-fe88-4779-b498-a609cce7fcae05b65db1d0d8119b975c4829a8.jpg,https://www.madeiramadeira.com.br/toner-hp-ce411a-305a-original-ciano-3k-530767301.html,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\TON-HP-W9061X-CIA\_review\05-product-hub-prd.madeiramadeira.com.br-7737ba2ccb.jpg,codigo W9061X nao encontrado | marca HP encontrada | tipo toner encontrado | cor ciano encontrada,,
,TON-HP-W9061X-CIA,Toner HP W9061X-EVP Ciano,W9061X,HP,ciano,toner,,duckduckgo,7,rejeitada,-18,HP W9061X toner ciano original,Toner Original Hp Cf411a 410a Ciano M452dw | Elo7,https://img.elo7.com.br/product/zoom/56D97BD/toner-original-hp-cf411a-410a-ciano-m452dw-samsung.jpg,https://www.elo7.com.br/toner-original-hp-cf411a-410a-ciano-m452dw/dp/208A7B6,,codigo W9061X nao encontrado | marca HP encontrada | tipo toner encontrado | cor ciano encontrada | download falhou: HTTP Error 404: Not Found,,
,TON-HP-W9062X-AMR,Toner HP W9062X-EVP Amarelo,W9062X,HP,amarelo,toner,,duckduckgo,3,rejeitada,-18,Toner HP W9062X-EVP Amarelo,HP TONER 126A CP1025/200 AMARELO ( CE312A),https://eadn-wc02-13158511.nxedge.io/media/catalog/product/cache/21e66967224519920b8a8cab253e0ab2/t/o/toner-hp-ce312a-cp1025200-yellow_2_.jpg,https://www.buitanda.com/hp-toner-126a-cp1025-200-amarelo-ce312a.html,,codigo W9062X nao encontrado | marca HP encontrada | tipo toner encontrado | cor amarelo encontrada | download falhou: HTTP Error 404: Not Found,,
,TON-HP-W9062X-AMR,Toner HP W9062X-EVP Amarelo,W9062X,HP,amarelo,toner,,duckduckgo,6,rejeitada,-18,Toner HP W9062X-EVP Amarelo,TONER HP 202A AMARILLO ORIGINAL - IDEAL PARA HASTA 1300 PÁGINAS ...,https://rimage.ripley.com.pe/home.ripley/Attachment/MKP/5679/PMP20001064688/full_image-1.jpeg,https://simple.ripley.com.pe/toner-hp-202a-amarillo-original-ideal-para-hasta-1300-paginas-excelente-calidad-de-impresion-pmp20001064688,,codigo W9062X nao encontrado | marca HP encontrada | tipo toner encontrado | cor amarelo encontrada | download falhou: HTTP Error 403: Forbidden,,
,TON-HP-W9062X-AMR,Toner HP W9062X-EVP Amarelo,W9062X,HP,amarelo,toner,,duckduckgo,1,rejeitada,-18,HP W9062X toner amarelo original,Cartucho de Toner Original Hp 125a Amarelo 2.2k Cb542a Cb542,https://img.elo7.com.br/product/zoom/56C84C0/cartucho-de-toner-original-hp-125a-amarelo-2-2k-cb542a-cb542-brother.jpg,https://www.elo7.com.br/cartucho-de-toner-original-hp-125a-amarelo-22k-cb542a-cb542/dp/2084E3F,,codigo W9062X nao encontrado | marca HP encontrada | tipo toner encontrado | cor amarelo encontrada | download falhou: HTTP Error 404: Not Found,,
,TON-HP-W9062X-AMR,Toner HP W9062X-EVP Amarelo,W9062X,HP,amarelo,toner,,duckduckgo,2,rejeitada,-18,HP W9062X toner amarelo original,Toner Hp 128a Amarelo Original Amarelo | Parcelamento sem juros,https://http2.mlstatic.com/D_NQ_NP_890369-MLB89098458980_082025-O.webp,https://www.mercadolivre.com.br/toner-hp-128a-amarelo-original/up/MLBU2803087643,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\TON-HP-W9062X-AMR\_review\02-http2.mlstatic.com-b6b6134581.webp,codigo W9062X nao encontrado | marca HP encontrada | tipo toner encontrado | cor amarelo encontrada,,
