sku,name,status,icecat_attempt,search_url,page_url,downloaded,processed,failed_images,message,raw_dir,output_dir
CRT-HP-951XL-MAG-VNC,CRT-HP-951XL-MAG-VNC,dry_run,HP HP-951XL | HP-951XL | CRT-HP-951XL-MAG-VNC,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-951XL-MAG-VNC,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-951XL-MAG-VNC
CRT-HP-972X-CIA,CRT-HP-972X-CIA,dry_run,HP HP-972X | HP-972X | CRT-HP-972X-CIA,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-972X-CIA,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-972X-CIA
CRT-HP-972X-MAG,CRT-HP-972X-MAG,dry_run,HP HP-972X | HP-972X | CRT-HP-972X-MAG,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-972X-MAG,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-972X-MAG
CRT-HP-974A-PRT-VNC,CRT-HP-974A-PRT-VNC,dry_run,HP HP-974A | HP-974A | CRT-HP-974A-PRT-VNC,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-974A-PRT-VNC,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-974A-PRT-VNC
CRT-HP-974X-CIA-AB,CRT-HP-974X-CIA-AB,dry_run,HP HP-974X | HP-974X | CRT-HP-974X-CIA-AB,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-974X-CIA-AB,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-974X-CIA-AB
CRT-HP-974X-MAG-AB,CRT-HP-974X-MAG-AB,dry_run,HP HP-974X | HP-974X | CRT-HP-974X-MAG-AB,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-974X-MAG-AB,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-974X-MAG-AB
CRT-HP-974X-MAG-VNC,CRT-HP-974X-MAG-VNC,dry_run,HP HP-974X | HP-974X | CRT-HP-974X-MAG-VNC,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-974X-MAG-VNC,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-974X-MAG-VNC
CRT-HP-976YC-MAG,CRT-HP-976YC-MAG,dry_run,HP HP-976YC | HP-976YC | CRT-HP-976YC-MAG,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-976YC-MAG,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-976YC-MAG
CRT-HP-976YC-PRT,CRT-HP-976YC-PRT,dry_run,HP HP-976YC | HP-976YC | CRT-HP-976YC-PRT,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-976YC-PRT,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-976YC-PRT
CRT-HP-980-CIA,CRT-HP-980-CIA,dry_run,HP HP-980 | HP-980 | CRT-HP-980-CIA,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-980-CIA,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-980-CIA
CRT-HP-981Y-MAG,CRT-HP-981Y-MAG,dry_run,HP HP-981Y | HP-981Y | CRT-HP-981Y-MAG,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-981Y-MAG,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-981Y-MAG
CRT-HP-992X-MAG,CRT-HP-992X-MAG,dry_run,HP HP-992X | HP-992X | CRT-HP-992X-MAG,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-992X-MAG,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-992X-MAG
CRT-HP-C4906AP-CPT,CRT-HP-C4906AP-CPT,dry_run,HP HP-C4906AP | HP-C4906AP | CRT-HP-C4906AP-CPT,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-C4906AP-CPT,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-C4906AP-CPT
CRT-HP-CN627AM-MAG,CRT-HP-CN627AM-MAG,dry_run,HP CN627AM | CN627AM | CRT-HP-CN627AM-MAG,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\CRT-HP-CN627AM-MAG,C:\Users\Sama Contabilidade\Desktop\MSN\products\CRT-HP-CN627AM-MAG
DRU-BRO-DR250-SC,DRU-BRO-DR250-SC,dry_run,DR250 | DRU-BRO-DR250-SC,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-BRO-DR250-SC,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-BRO-DR250-SC
DRU-BRO-DR411CL,DRU-BRO-DR411CL,dry_run,DR411CL | DRU-BRO-DR411CL,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-BRO-DR411CL,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-BRO-DR411CL
DRU-GEN-4500,DRU-GEN-4500,dry_run,GEN-4500 | DRU-GEN-4500,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-GEN-4500,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-GEN-4500
DRU-HP-CB386A-AMR,DRU-HP-CB386A-AMR,dry_run,HP CB386A | CB386A | DRU-HP-CB386A-AMR,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-HP-CB386A-AMR,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-HP-CB386A-AMR
DRU-HP-CF364A-AMR,DRU-HP-CF364A-AMR,dry_run,HP CF364A | CF364A | DRU-HP-CF364A-AMR,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-HP-CF364A-AMR,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-HP-CF364A-AMR
DRU-HP-CP5525,DRU-HP-CP5525,dry_run,HP CP5525 | CP5525 | DRU-HP-CP5525,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-HP-CP5525,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-HP-CP5525
DRU-HP-Q3964A-SC,DRU-HP-Q3964A-SC,dry_run,HP HP-Q3964A | HP-Q3964A | DRU-HP-Q3964A-SC,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-HP-Q3964A-SC,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-HP-Q3964A-SC
DRU-HP-W1332AC,DRU-HP-W1332AC,dry_run,HP HP-W1332AC | HP-W1332AC | DRU-HP-W1332AC,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-HP-W1332AC,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-HP-W1332AC
DRU-HP-W9006MC,DRU-HP-W9006MC,dry_run,HP HP-W9006MC | HP-W9006MC | DRU-HP-W9006MC,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-HP-W9006MC,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-HP-W9006MC
DRU-HP-W9018MC,DRU-HP-W9018MC,dry_run,HP HP-W9018MC | HP-W9018MC | DRU-HP-W9018MC,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-HP-W9018MC,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-HP-W9018MC
DRU-HP-W9055MC,DRU-HP-W9055MC,dry_run,HP HP-W9055MC | HP-W9055MC | DRU-HP-W9055MC,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-HP-W9055MC,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-HP-W9055MC
DRU-HP-W9215MC,DRU-HP-W9215MC,dry_run,HP HP-W9215MC | HP-W9215MC | DRU-HP-W9215MC,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-HP-W9215MC,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-HP-W9215MC
DRU-HP-X4220-AMR,DRU-HP-X4220-AMR,dry_run,HP HP-X4220 | HP-X4220 | DRU-HP-X4220-AMR,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-HP-X4220-AMR,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-HP-X4220-AMR
DRU-HP-X4220-CIA,DRU-HP-X4220-CIA,dry_run,HP HP-X4220 | HP-X4220 | DRU-HP-X4220-CIA,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-HP-X4220-CIA,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-HP-X4220-CIA
DRU-HP-X4220-MAG,DRU-HP-X4220-MAG,dry_run,HP HP-X4220 | HP-X4220 | DRU-HP-X4220-MAG,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-HP-X4220-MAG,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-HP-X4220-MAG
DRU-HP-X4220-PRT,DRU-HP-X4220-PRT,dry_run,HP HP-X4220 | HP-X4220 | DRU-HP-X4220-PRT,,,0,0,0,simulacao; nada foi baixado ou processado,C:\Users\Sama Contabilidade\Desktop\cópia de produtos\Produtos\DRU-HP-X4220-PRT,C:\Users\Sama Contabilidade\Desktop\MSN\products\DRU-HP-X4220-PRT
